input_id,source_id,"coordinates(rows,col)",porcentaje
imagentiff/rgbnir70-0.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-0.tif,"0-512,0-512",1.0
imagentiff/rgbnir70-512.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-512.tif,"512-1024,0-512",1.0
imagentiff/rgbnir70-1024.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-1024.tif,"1024-1536,0-512",1.0
imagentiff/rgbnir70-1536.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-1536.tif,"1536-2048,0-512",1.0
imagentiff/rgbnir70-2048.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-2048.tif,"2048-2560,0-512",1.0
imagentiff/rgbnir70-2560.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-2560.tif,"2560-3072,0-512",0.9618568420410156
imagentiff/rgbnir70-3072.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-3072.tif,"3072-3584,0-512",0.7600479125976562
imagentiff/rgbnir70-3584.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-3584.tif,"3584-4096,0-512",0.5394668579101562
imagentiff/rgbnir70-4096.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-4096.tif,"4096-4608,0-512",0.3175468444824219
imagentiff/rgbnir70-4608.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-4608.tif,"4608-5120,0-512",0.11974716186523438
imagentiff/rgbnir70-5120.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-5120.tif,"5120-5632,0-512",0.9632949829101562
imagentiff/rgbnir70-5632.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir70-5632.tif,"5632-6144,0-512",1.0
imagentiff/rgbnir7512-0.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-0.tif,"0-512,512-1024",0.9961929321289062
imagentiff/rgbnir7512-512.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-512.tif,"512-1024,512-1024",0.8510360717773438
imagentiff/rgbnir7512-1024.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-1024.tif,"1024-1536,512-1024",0.6343307495117188
imagentiff/rgbnir7512-1536.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-1536.tif,"1536-2048,512-1024",0.41675567626953125
imagentiff/rgbnir7512-2048.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-2048.tif,"2048-2560,512-1024",0.19861602783203125
imagentiff/rgbnir7512-2560.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-2560.tif,"2560-3072,512-1024",0.018352508544921875
imagentiff/rgbnir7512-3072.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-3072.tif,"3072-3584,512-1024",0.0
imagentiff/rgbnir7512-3584.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-3584.tif,"3584-4096,512-1024",0.0
imagentiff/rgbnir7512-4096.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-4096.tif,"4096-4608,512-1024",0.0
imagentiff/rgbnir7512-4608.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-4608.tif,"4608-5120,512-1024",0.0
imagentiff/rgbnir7512-5120.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-5120.tif,"5120-5632,512-1024",0.7470550537109375
imagentiff/rgbnir7512-5632.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir7512-5632.tif,"5632-6144,512-1024",1.0
imagentiff/rgbnir71024-0.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-0.tif,"0-512,1024-1536",0.128936767578125
imagentiff/rgbnir71024-512.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-512.tif,"512-1024,1024-1536",0.0
imagentiff/rgbnir71024-1024.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-1024.tif,"1024-1536,1024-1536",0.0
imagentiff/rgbnir71024-1536.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-1536.tif,"1536-2048,1024-1536",0.0
imagentiff/rgbnir71024-2048.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-2048.tif,"2048-2560,1024-1536",0.0
imagentiff/rgbnir71024-2560.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-2560.tif,"2560-3072,1024-1536",0.0
imagentiff/rgbnir71024-3072.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-3072.tif,"3072-3584,1024-1536",0.0
imagentiff/rgbnir71024-3584.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-3584.tif,"3584-4096,1024-1536",0.0
imagentiff/rgbnir71024-4096.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-4096.tif,"4096-4608,1024-1536",0.0
imagentiff/rgbnir71024-4608.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-4608.tif,"4608-5120,1024-1536",0.0
imagentiff/rgbnir71024-5120.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-5120.tif,"5120-5632,1024-1536",0.5065498352050781
imagentiff/rgbnir71024-5632.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71024-5632.tif,"5632-6144,1024-1536",1.0
imagentiff/rgbnir71536-0.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-0.tif,"0-512,1536-2048",0.286956787109375
imagentiff/rgbnir71536-512.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-512.tif,"512-1024,1536-2048",0.0
imagentiff/rgbnir71536-1024.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-1024.tif,"1024-1536,1536-2048",0.0
imagentiff/rgbnir71536-1536.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-1536.tif,"1536-2048,1536-2048",0.0
imagentiff/rgbnir71536-2048.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-2048.tif,"2048-2560,1536-2048",0.0
imagentiff/rgbnir71536-2560.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-2560.tif,"2560-3072,1536-2048",0.0
imagentiff/rgbnir71536-3072.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-3072.tif,"3072-3584,1536-2048",0.0
imagentiff/rgbnir71536-3584.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-3584.tif,"3584-4096,1536-2048",0.0
imagentiff/rgbnir71536-4096.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-4096.tif,"4096-4608,1536-2048",0.0
imagentiff/rgbnir71536-4608.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-4608.tif,"4608-5120,1536-2048",0.0
imagentiff/rgbnir71536-5120.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-5120.tif,"5120-5632,1536-2048",0.2664146423339844
imagentiff/rgbnir71536-5632.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir71536-5632.tif,"5632-6144,1536-2048",1.0
imagentiff/rgbnir72048-0.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-0.tif,"0-512,2048-2560",0.5268974304199219
imagentiff/rgbnir72048-512.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-512.tif,"512-1024,2048-2560",0.0
imagentiff/rgbnir72048-1024.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-1024.tif,"1024-1536,2048-2560",0.0
imagentiff/rgbnir72048-1536.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-1536.tif,"1536-2048,2048-2560",0.0
imagentiff/rgbnir72048-2048.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-2048.tif,"2048-2560,2048-2560",0.0
imagentiff/rgbnir72048-2560.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-2560.tif,"2560-3072,2048-2560",0.0
imagentiff/rgbnir72048-3072.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-3072.tif,"3072-3584,2048-2560",0.0
imagentiff/rgbnir72048-3584.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-3584.tif,"3584-4096,2048-2560",0.0
imagentiff/rgbnir72048-4096.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-4096.tif,"4096-4608,2048-2560",0.0
imagentiff/rgbnir72048-4608.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-4608.tif,"4608-5120,2048-2560",0.0
imagentiff/rgbnir72048-5120.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-5120.tif,"5120-5632,2048-2560",0.044429779052734375
imagentiff/rgbnir72048-5632.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72048-5632.tif,"5632-6144,2048-2560",0.9815711975097656
imagentiff/rgbnir72560-0.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72560-0.tif,"0-512,2560-3072",0.7673301696777344
imagentiff/rgbnir72560-512.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72560-512.tif,"512-1024,2560-3072",0.0
imagentiff/rgbnir72560-1024.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72560-1024.tif,"1024-1536,2560-3072",0.0
imagentiff/rgbnir72560-1536.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72560-1536.tif,"1536-2048,2560-3072",0.0
imagentiff/rgbnir72560-2048.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72560-2048.tif,"2048-2560,2560-3072",0.0
imagentiff/rgbnir72560-2560.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72560-2560.tif,"2560-3072,2560-3072",0.0
imagentiff/rgbnir72560-3072.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72560-3072.tif,"3072-3584,2560-3072",0.0
imagentiff/rgbnir72560-3584.tif,/home/jgonzalez/Test_2019/Test_network/data_HR/unlabel/imagentiff/rgbnir72560-3584.tif,"3584-4096,2560-3072",0.0
